,name,longitude,latitude
0,Villingen-Schwenningen,8.45318,48.064962
1,Rafha,43.494802,29.620219
2,Egido Villa de Pinto Hotel,-3.696101,40.242937
3,Hotel zia Piera,9.317917,44.316492
4,Tomigusuku,127.68192,26.18583
5,Faxinal dos Guedes,-52.256552,-26.849124
6,Goldasht,52.46119,29.684757
7,Gotse Delchev,23.730846,41.569823
8,Ettlingen,8.38468,48.945939
9,Moroni,43.25506,-11.70216
10,Aquidabã Praia Hotel,-38.50749,-3.723402
11,Boca del Río,-108.475026,25.552551
12,Aniva,142.537571,46.70979
13,Gójar,-3.602388,37.106101
14,Taluqan,69.66832,36.746387
15,Almendralejo,-6.408345,38.683923
16,Oak Hills,-82.451364,34.870742
17,Real Oeiras Hotel,-9.13565,38.70701
18,Balurghat,88.77732,25.22099
19,Soncino,9.864969,45.398879
20,Montreux,6.94084,46.45179
21,Cut Off,-90.329709,29.5169
22,Kawerau Hotel,176.70107,-38.087352
23,Remanso Hotel de Serra,-38.930503,-4.243034
24,Piçarras,-48.680982,-26.771305
25,Roxborough,-75.219605,40.036796
26,Preston Hotel,-2.654379,53.718102
27,Harrislee,9.393634,54.801825
28,San Juan Capistrano,-117.653984,33.501163
29,San Pablo Tacachico,-89.34,13.97556
30,Artëmovskiy,61.878931,57.350455
31,Hotel Selma Lagerlöf (flyktingboende),13.134845,59.827469
32,Douvaine,6.305441,46.306763
33,Hôtel Les Olivettes,5.581878,50.175402
34,Highland Lakes,-80.16449,25.970392
35,Macdonald Manchester Hotel,-2.22978,53.475386
36,Chauvigny,0.640649,46.567622
37,Pearl River Hotel,106.698054,20.816647
38,Basaya Beach Hotel,100.88425,12.937917
39,Hotel Chardoney,7.60944,45.62162
40,Segezha,34.32218,63.74147
41,Ariana Hotel,120.322685,16.568901
42,Okres Děčín,14.34325,50.82905
43,Hôtel Constantin,7.262729,48.138574
44,Terra Boa,-52.449798,-23.768577
45,Maracajá,-49.46337,-28.8464
46,Itagimirim,-39.614539,-16.087758
47,Ariccia,12.681749,41.722035
48,Seichamps,6.263127,48.714304
49,Pilibhit,79.799194,28.637568
50,Acevedo,-66.314415,10.202936
51,Kuilsrivier,29.15,-25.15
52,Hôtel Arcole,6.18031,48.636293
53,Forli'-Cesena,12.0099,44.033233
54,Bahía Honda,-83.15917,22.90361
55,Hotel Teresópolis,-42.980171,-22.441076
56,B&B Hotel München-Putzbrunn,11.724181,48.077119
57,Des Plaines,-87.900832,42.033886
58,Ilhabela,-45.311307,-23.770289
59,Moulay Bouzarqtoune,-9.67713,31.64646
60,Kourimat,-9.31638,31.46047
61,Belousovo,36.6732,55.09499
62,Hotel Aisia Derio,-2.872686,43.293702
63,Mansfield Hotel,-1.887677,50.715735
64,Sidi Slimane,-5.92598,34.26478
65,Codognè,12.428385,45.871134
66,Auchel,2.472478,50.509684
67,Ubstadt-Weiher,8.630126,49.161515
68,Dötlingen,8.377913,52.93717
69,Kambove,26.59694,-10.87639
70,Lys'va,57.814924,58.108083
71,Olot,2.484738,42.180168
72,Tochigi,139.729614,36.38149
73,Bonneville County,-111.379376,43.363808
74,Santiago Teyahualco,-99.1237,19.66152
75,Travelodge Bournemouth Hotel,-1.854749,50.72259
76,Guelph,-80.26637,43.6001
77,Ban Bang Krang,100.45128,13.83586
78,Ocean Acres,-74.279922,39.739971
79,The Victoria Hotel,-9.047986,53.27299
80,Taniyama-chuo,130.51667,31.51667
81,BUENAVISTA Hotel,0.06358,38.8347
82,Temnikovskiy,43.344099,54.880273
83,Saint George Basseterre,-62.647613,17.243303
84,Makhkety,45.9057,42.9652
85,Point Hotel Conselve,11.892385,45.207237
86,Hôtel Bondo,17.371171,-3.301318
87,Smithville,-80.867735,35.484306
88,Fugangcun,116.47149,23.54713
89,Wangguanzhuangcun,122.41019,37.37058
90,Niles Hotel,-120.542071,41.482436
91,Nong Khae,100.86461,14.375142
92,Chermen,44.70694,43.14861
93,Grand Hotel Falkenberg,12.4937,56.9034
94,Carbonne,1.224422,43.301773
95,Mudgeeraba,153.36667,-28.08333
96,Meson Del Barro Hotel,-1.66269,42.80613
97,Nieuwleusenerstraat,3.409399,51.369288
98,The Sandown Hotel,-1.149868,50.656258
99,Selty,52.143385,57.309042
100,Guilderland,-73.91151,42.70452
101,Feurs,4.22474,45.739803
102,Mandaluyong,121.053017,14.57529
103,Hotel Borger,8.754855,50.145203
104,Bogoroditsk,38.132563,53.779603
105,Comfort Hotel Orly Draveil,2.39003,48.68686
106,Pukekohe East,174.95,-37.2
107,Tuguegarao City,121.72694,17.61306
108,Lengede,10.3253,52.194701
109,Prairie Village,-94.636507,38.988431
110,Acate,14.493297,37.023928
111,Hyères Hôtel de Ville,6.128993,43.11957
112,Resort Magic Canillo Hotel**** Y Apartamentos***,1.60123,42.5616
113,Nyamira,34.93583,-0.56333
114,Manzanares,-75.15403,5.25397
115,Camborne,-5.29731,50.21306
116,Schriever,-90.81037,29.74215
117,Pemagatshel,91.40305,27.03795
118,Frontignan,3.752348,43.44088
119,Kuybysheve,36.64908,47.358
120,Morogoro Hotel,37.671238,-6.834609
121,Požarevac,21.182159,44.619939
122,Shijiazhuang,114.492935,38.035112
123,Betanzos Municipality,-65.21667,-19.45
124,Hotel Ulm,16.151248,48.137144
125,Chalford,-2.15139,51.72583
126,Center Way Hotel Tonawanda,-78.866488,42.996844
127,Bussy-Saint-Georges,2.714418,48.840104
128,Malacacheta,-42.078224,-17.842411
129,Qiryat Atta,35.11255,32.81034
130,Hôtel de Boussugues,3.877686,43.607724
131,Alajuelita Canton,-84.10042,9.90163
132,Chililabombwe,27.82286,-12.36475
133,Saint-Marcel-lès-Valence,4.957555,44.970887
134,Comfort Hotel Antrim,-6.2,54.6999
135,Alum Rock,-121.820934,37.378113
136,Chiquinquirá,-73.81748,5.61637
137,Keynsham,-2.491562,51.40653
138,Aboisso,-3.20711,5.46779
139,Giarre,15.176871,37.717836
140,Goirle,5.05845,51.520987
141,Guaraqueçaba,-48.317424,-25.293324
142,Esher,-0.36572,51.36926
143,Starorybnoye,104.800001,72.766604
144,Forest Park Hotel,24.481952,35.359635
145,Kensington Hotel,-1.915756,52.442172
146,Yambio,28.39549,4.57213
147,Prosperidad,125.90798,8.64652
148,Memphis Hotel,-3.04863,53.812374
149,Chrastava,14.968339,50.817273
150,Zuwara,12.08199,32.9312
151,Marriott Johnstown House Enfield Hotel,-6.8325,53.4183
152,Eenhana,16.352634,-17.627852
153,Potters Hotel Brewery Resort,151.349942,-32.806627
154,Sidi Harazem Hotel,-4.88418,34.02631
155,Alcácer do Sal,-8.503584,38.387969
156,Wellington Hotel,0.101675,50.770421
157,Jamundí,-76.53499,3.26074
158,St. Ives,-5.479639,50.210923
159,White City Beach Hotel,31.916919,36.567184
160,Northwood hotel,119.983751,16.151522
161,Gwangmyeongni,126.68819,37.93073
162,Parma Hotel,9.162726,45.48471
163,Lizzanello,18.220552,40.304973
164,Taminango,-77.28666,1.57491
165,Cirié,7.603331,45.231903
166,Plaza Blumenau Hotel,-49.064781,-26.921869
167,Capilla del Monte,-65.007395,-31.744951
168,Belluno Apart Hotel,-48.432636,-27.421679
169,Hotel Tete,-83.029363,9.992745
170,San Antonino Monteverde,-97.7863,17.66268
171,Muro Lucano,15.485078,40.751327
172,Rothwell Hotel & Restaurant,-0.801764,52.423073
173,Best Western New Smyrna Beach Hotel & Suites,-80.89087,29.02837
174,Bergenfield,-73.998151,40.924011
175,Trecate,8.737291,45.433207
176,Sahuarita,-110.974521,31.927065
177,Brejo Grande,-36.465195,-10.481577
178,Crigglestone,-1.544029,53.639342
179,Zhovkva,23.978598,50.057663
180,Audun-le-Tiche,5.955434,49.470765
181,Ora Hotels City Milano Bresso,9.19755,45.53569
182,Hotel Vaslui,27.730592,46.639906
183,Hotel Pedra Bonita,-42.854085,-22.745762
184,Feldkirchen in Karinthie,14.096084,46.722698
185,Bardejov,21.272001,49.292691
186,Pestana Buenos Aires Hotel,-58.38102,-34.598248
187,Hotel der Platengarten,10.57729,49.30186
188,Chillicothe,-93.55244,39.79529
189,Handewitt,9.324748,54.769889
190,Hotel Santo Tomás,4.038067,39.915603
191,Homécourt,5.989623,49.220023
192,Daxincun,105.42443,31.49397
193,Okres Louny,13.66667,50.33333
194,Hotel Garni Krumbach,9.888539,47.286234
195,Rumilly,5.947418,45.861072
196,Spaichingen,8.733487,48.075434
197,Sao Benedito,-40.94585,-4.04957
198,Coribe,-44.461367,-13.827181
199,Ramat HaSharon,34.837042,32.141583
200,Geislingen,8.810633,48.28711
201,Bol’sheust’ikinskoye,58.268,55.9506
202,Stavanger Lille Hotel,5.727015,58.963885
203,Tulipin Estarreja Hotel & Spa,-8.561648,40.757708
204,Hotel,-71.608652,42.119943
205,Ellington Hotel Berlin,13.338338,52.501958
206,Travelodge Hotel - St. Austell,-4.792332,50.333703
207,Gulfport Beachfront Hotel,-89.0801,30.3697
208,Taufkirchen,12.132042,48.345731
209,Rtishchevo,43.799938,52.25612
210,Homestead Meadows,-122.570291,38.480519
211,Kings Langley,150.93542,-33.75005
212,Hardeeville,-81.01556,32.345369
213,Almoloya del Río Municipality,-99.486578,19.162432
214,Muncy,-76.786306,41.203127
215,Tumauini,121.88333,17.26667
216,Mainleus,11.379974,50.100351
217,Rivertain Hotel Daegu,128.598052,35.872121
218,Scheßlitz,11.029575,49.974567
219,Rilano 24|7 Hotel Wolfenbüttel,10.533326,52.158142
220,Gus'-Khrustal'nyy,40.65186,55.61113
221,Hazebrouck,2.536947,50.725953
222,Changchongma,112.99085,28.67197
223,B&B Hotel Duisburg,6.772586,51.42842
224,Jisr al-Shughur,36.32062,35.81426
