,country_long,kw_thermal,name,gppd_idnr,capacity_mw,latitude,longitude,commissioning_year,owner,source,url,geolocation_source,year_of_capacity_data
72,Argentina,1179,ATUCHA I,ARG0000029,370,-33.967,-59.2059,1974,NASA,Ministerio de Energía y Minería,http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx,Ministerio de Energía y Minería,2015
73,Argentina,2000,ATUCHA II,ARG0000030,745,-33.9674,-59.2045,2014,NASA,Ministerio de Energía y Minería,http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx,Ministerio de Energía y Minería,2015
197,Argentina,2109,EMBALSE,ARG0000112,648,-32.2316,-64.4422,1984,NASA,Ministerio de Energía y Minería,http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx,Ministerio de Energía y Minería,2015
294,Armenia,1375,Armenian-2,WRI1019028,375,40.1805,44.1498,1980,Armenian Nuclear Power Company,IAEA,https://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=2,GEODB,
942,Belgium,2988,DOEL 4,WRI1002223,2910,51.3254,4.2597,1985,,ELIA Belgian Grid Operator,http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815,GEODB,
978,Belgium,2873,TIHANGE 1N,WRI1002275,962,50.5342,5.2751,1975,,ELIA Belgian Grid Operator,http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815,GEODB,
979,Belgium,3000,TIHANGE 3,WRI1002277,2053.8,50.5342,5.2751,1985,,ELIA Belgian Grid Operator,http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815,GEODB,
1099,Brazil,,Almirante Álvaro Alberto - Unidade I (Antiga Angra I),BRA0000100,640,-23.0087,-44.4574,1985,,Agência Nacional de Energia Elétrica (Brazil),http://www2.aneel.gov.br/aplicacoes/capacidadebrasil/capacidadebrasil.cfm,Agência Nacional de Energia Elétrica (Brazil),2017
1100,Brazil,,Almirante Álvaro Alberto - Unidade II (Antiga Angra II),BRA0000101,1350,-23.0072,-44.4588,2000,,Agência Nacional de Energia Elétrica (Brazil),http://www2.aneel.gov.br/aplicacoes/capacidadebrasil/capacidadebrasil.cfm,Agência Nacional de Energia Elétrica (Brazil),2017
3395,Bulgaria,6240,KOZLODUY,WRI1008053,2000,43.7438,23.7723,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,WRI,
